drink,volume,calories,caffeine,type,caffeine_over_ml
Costa Coffee,256.99371499999995,0,277,Coffee,1.07784737070321
Coffee Friend Brewed Coffee,250.19181000000003,0,145,Coffee,0.5795553419594349
Hell Energy Coffee,250.19181000000003,150,100,Coffee,0.39969333928236894
Killer Coffee (AU),250.19181000000003,0,430,Coffee,1.7186813589141865
Nescafe Gold,250.19181000000003,0,66,Coffee,0.2637976039263635
Espresso Monster,248.4174,170,160,Coffee,0.6440772667293032
Dunkin Donuts Shot In The Dark,239.54535,80,134,Coffee,0.5593930335111911
Illy Issimo Cafe,201.0998,45,155,Coffee,0.7707615820602507
Starbucks Doubleshot Espresso,192.22775,140,120,Coffee,0.6242595046760939
TrueStart Performance Coffee,150.82485,0,95,Coffee,0.6298696799632156
Bizzy Cold Brew,78.96124499999999,0,125,Coffee,1.5830550797419674
Zola Coconut Water Espresso,517.53625,0,125,Coffee,0.2415289750234887
Barista Bros Iced Coffee,500.087885,204,140,Coffee,0.27995079304910575
Dare Iced Coffee,500.087885,429,160,Coffee,0.3199437634846923
V Iced Coffee,500.087885,345,155,Coffee,0.30994552087579563
Bottled Iced Coffee Dunkin Donuts,405.15695,260,171,Coffee,0.42205866146440285
Starbucks Bottled Frappuccino,405.15695,300,110,Coffee,0.2714997237490311
Stok Cold Brew,405.15695,0,145,Coffee,0.35788599948735916
Wide Awake Iced Coffee Drinks,405.15695,290,30,Coffee,0.07404537920428121
Caribou Canned Cold Brew,340.09525,10,177,Coffee,0.5204424348766999
McDonalds Iced Coffee,340.09525,180,133,Coffee,0.39106691434237906
Premier Protein Cafe Latte,340.09525,160,120,Coffee,0.35284232872996607
Stumptown Cold Brew Coffee,310.52175,3,279,Coffee,0.898487787087378
Espresso Shot,44.36025,0,77,Coffee,1.735788233835472
Peet's Coffee Espresso,44.36025,0,70,Coffee,1.5779893034867927
Peet's Decaf Espresso,44.36025,0,10,Coffee,0.22542704335525612
Gourmesso Coffee Pods,39.924225,0,65,Coffee,1.6280842020101831
Nespresso Coffee Capsules,39.924225,0,60,Coffee,1.5028469557017075
Stok Coffee Shots,12.716605,10,40,Coffee,3.145493628212876
Baskin Robbins Cappuccino Blast,709.764,470,234,Coffee,0.3296870509070621
Dunkin' Cold Brew,709.764,5,260,Coffee,0.36631894545229116
Dunkin' Donuts Iced Coffee,709.764,20,297,Coffee,0.41844894922819414
Dunkin' Donuts Iced Latte,709.764,100,166,Coffee,0.23388055748107822
Dutch Bros Coffee (Classic),591.47,10,187,Coffee,0.3161614283057467
Tim Hortons Large Brewed Coffee,591.47,5,270,Coffee,0.4564897627943936
7 Eleven Brewed Coffee,473.176,5,280,Coffee,0.5917459888075474
Arby's Jamocha Shake,473.176,830,12,Coffee,0.025360542377466315
Biggby Brewed Coffee,473.176,0,200,Coffee,0.42267570629110524
Biggby Creamy Lattes,473.176,387,100,Coffee,0.21133785314555262
Biggby Iced Coffee,473.176,0,155,Coffee,0.32757367237560653
Caribou Brewed Coffee,473.176,5,305,Coffee,0.6445804520939354
Coffee Bean & Tea leaf Coffee,473.176,5,333,Coffee,0.7037550509746902
Einstein Bros Coffee,473.176,0,206,Coffee,0.4353559774798384
Latte,473.176,160,154,Coffee,0.32546029384415104
McDonalds (McCafe) Latte,473.176,190,142,Coffee,0.3000997514666847
McDonalds (McCafe) Mocha,473.176,380,167,Coffee,0.35293421475307285
McDonalds Coffee,473.176,0,145,Coffee,0.3064398870610513
Panera Bread Coffee,473.176,15,189,Coffee,0.39942854244509446
Peet's Brewed Coffee,473.176,5,267,Coffee,0.5642720678986255
Peet's Caffe Americano,473.176,10,140,Coffee,0.2958729944037737
Peet's Caffe Latte,473.176,190,140,Coffee,0.2958729944037737
Peet's Caffe Mocha,473.176,390,165,Coffee,0.3487074576901618
Peet's Cappuccino,473.176,140,140,Coffee,0.2958729944037737
Peet's Iced Coffee,473.176,0,150,Coffee,0.3170067797183289
Peet's Iced Latte,473.176,120,140,Coffee,0.2958729944037737
Peet's Iced Mocha,473.176,310,165,Coffee,0.3487074576901618
Starbucks Caramel Macchiato,473.176,250,150,Coffee,0.3170067797183289
Starbucks Cold Brew Coffee,473.176,5,205,Coffee,0.43324259894838285
Starbucks Decaf Coffee,473.176,0,25,Coffee,0.052834463286388154
Starbucks Grande Caffe Americano,473.176,15,225,Coffee,0.47551016957749337
Starbucks Grande Caffe Latte,473.176,190,150,Coffee,0.3170067797183289
Starbucks Grande Caffe Mocha,473.176,370,175,Coffee,0.36984124300471705
Starbucks Grande Cappuccino,473.176,140,150,Coffee,0.3170067797183289
Starbucks Grande Coffee,473.176,5,310,Coffee,0.6551473447512131
Starbucks Iced Americano,473.176,15,225,Coffee,0.47551016957749337
Starbucks Nitro Cold Brew Coffee,473.176,5,280,Coffee,0.5917459888075474
Starbucks Pink Drink,473.176,140,45,Coffee,0.09510203391549868
Starbucks Pumpkin Cream Cold Brew,473.176,250,185,Coffee,0.39097502831927233
Starbucks Refreshers,473.176,70,45,Coffee,0.09510203391549868
Wawa Coffee,473.176,4,290,Coffee,0.6128797741221026
Private Selection Canned Espresso,443.6025,230,145,Coffee,0.32686921286512133
Starbucks Doubleshot Energy,443.6025,220,135,Coffee,0.30432650852959575
Wide Awak Energy Coffee,443.6025,190,180,Coffee,0.405768678039461
Chick-fil-A Frosted Coffee,414.029,240,130,Coffee,0.3139876675305353
Chick-fil-A Iced Coffee,414.029,190,80,Coffee,0.19322318001879096
Dunkin' Donuts Brewed Coffee,414.029,5,210,Coffee,0.5072108475493262
Dunkin' Donuts Dunkaccino,414.029,350,83,Coffee,0.20046904926949563
Dunkin' Donuts Extra Charged Coffee,414.029,10,252,Coffee,0.6086530170591915
Dunkin' Donuts Latte,414.029,100,166,Coffee,0.40093809853899126
Americano Coffee,354.882,5,154,Coffee,0.433947058458868
Big Train Java Chip Ice Coffee,354.882,410,49,Coffee,0.13807406405509437
Black Ink Coffee,354.882,0,144,Coffee,0.405768678039461
Cafe Bustelo,354.882,0,150,Coffee,0.4226757062911052
Caffe Mocha,354.882,239,152,Coffee,0.4283113823749866
Caffe Nero Coffee,354.882,5,160,Coffee,0.45085408671051225
Cappuccino,354.882,97,154,Coffee,0.433947058458868
Flat White,354.882,170,130,Coffee,0.36631894545229116
GymBrew Coffee,354.882,4,333,Coffee,0.9383400679662536
International Delight Iced Coffee,354.882,180,88,Coffee,0.24796974769078173
Seattle's Best Brewed Coffee,354.882,10,260,Coffee,0.7326378909045823
Starbucks Iced Espresso Classics,354.882,190,125,Coffee,0.35222975524258765
Sudden Instant Coffee,354.882,0,95,Coffee,0.2676946139843666
Chameleon Cold Brew With Milk,325.3085,100,100,Coffee,0.30740051366625837
Muscle Milk Coffee House,325.3085,130,120,Coffee,0.36888061639951003
SlimFast Shake - Cappuccino,325.3085,180,100,Coffee,0.30740051366625837
Starbucks Bottled Cold Brew,325.3085,50,180,Coffee,0.5533209245992651
Starbucks Canned Nitro Cold Brew,325.3085,0,235,Coffee,0.7223912071157071
Starbucks Cold & Crafted,325.3085,50,135,Coffee,0.4149906934494488
Stumptown Nitro Cold Brew,325.3085,3,330,Coffee,1.0144216950986527
Sunup Pure Green Coffee,325.3085,5,200,Coffee,0.6148010273325167
Wide Awake Coffee Cold Brew,325.3085,5,120,Coffee,0.36888061639951003
Chameleon Cold Brew RTD,295.735,10,230,Coffee,0.7777232995756336
Chick-fil-A Brewed Coffee,295.735,0,136,Coffee,0.4598711684447224
CoolBrew Coffee,295.735,0,60,Coffee,0.2028843390197305
Tim Hortons Small French Vanilla Coffee,295.735,0,60,Coffee,0.2028843390197305
La Colombe Cold Brew,266.1615,5,180,Coffee,0.6762811300657684
La Colombe Draft Latte,266.1615,90,120,Coffee,0.45085408671051225
Alpine Start Instant Coffee,236.588,0,120,Coffee,0.5072108475493262
Bulletproof Coffee,236.588,0,145,Coffee,0.6128797741221026
Califia Farms Cold Brew Coffee,236.588,10,180,Coffee,0.7608162713239894
CBD Coffee,236.588,0,100,Coffee,0.42267570629110524
Chameleon Cold Brew Coffee,236.588,15,200,Coffee,0.8453514125822105
Coffee,236.588,0,163,Coffee,0.6889614012545016
"Coffee (Decaf, Instant)",236.588,6,2,Coffee,0.008453514125822105
Coffee (Instant),236.588,0,57,Coffee,0.24092515258592997
Coffee Leaf Tea,236.588,0,20,Coffee,0.08453514125822105
Crio Bru Brewed Cacao,236.588,20,10,Coffee,0.042267570629110525
Death Wish Canned Cold Brew,236.588,15,300,Coffee,1.2680271188733157
Death Wish Latte,236.588,170,300,Coffee,1.2680271188733157
Decaf Coffee,236.588,2,6,Coffee,0.025360542377466315
Driftaway Coffee,236.588,0,160,Coffee,0.6762811300657684
Eight O'Clock Coffee,236.588,0,112,Coffee,0.4733967910460378
Folgers Coffee,236.588,0,112,Coffee,0.4733967910460378
Gold Peak Coffee,236.588,5,126,Coffee,0.5325713899267925
Gothrider Gasoline Coffee,236.588,0,200,Coffee,0.8453514125822105
High Brew Coffee,236.588,50,140,Coffee,0.5917459888075474
Indulgio Cappuccino,236.588,79,20,Coffee,0.08453514125822105
K Cup Decaf,236.588,0,4,Coffee,0.01690702825164421
K-Cup Coffee,236.588,0,100,Coffee,0.42267570629110524
Maxwell House Coffee,236.588,0,112,Coffee,0.4733967910460378
Maxwell House Max Boost Coffee,236.588,0,196,Coffee,0.8284443843305662
Nescafe Dolce Gusto,236.588,0,106,Coffee,0.44803624866857156
Nescafe Ice Java,236.588,50,100,Coffee,0.42267570629110524
Nescafe Ricoffy,236.588,10,6,Coffee,0.025360542377466315
Nestle Milo,236.588,80,4,Coffee,0.01690702825164421
Noocaf Smart Coffee,236.588,0,160,Coffee,0.6762811300657684
Ocean Spray Brew,236.588,30,40,Coffee,0.1690702825164421
Purity Coffee,236.588,0,163,Coffee,0.6889614012545016
Revv Coffee Pods,236.588,0,127,Coffee,0.5367981469897036
Robusta Coffee,236.588,0,265,Coffee,1.1200906216714288
Starbucks 2X Coffee Pods,236.588,0,260,Coffee,1.0989568363568736
Starbucks Cordusio Mocha,236.588,130,155,Coffee,0.6551473447512131
Starbucks Verismo Coffee Pods,236.588,0,60,Coffee,0.2536054237746631
Starbucks Via Ready Brew,236.588,0,135,Coffee,0.570612203492992
Steep 18 Cold Brew,236.588,0,90,Coffee,0.3804081356619947
Taster's Choice Instant Coffee,236.588,0,98,Coffee,0.4142221921652831
Voila Instant Coffee,236.588,0,100,Coffee,0.42267570629110524
Waka Decaf Instant Coffee,236.588,0,4,Coffee,0.01690702825164421
Waka Indian Instant Coffee,236.588,0,70,Coffee,0.2958729944037737
Waka Instant Coffee,236.588,0,70,Coffee,0.2958729944037737
Whipped (Dalgona) Coffee,236.588,48,105,Coffee,0.44380949160566047
Mushroom Coffee,207.0145,5,40,Coffee,0.19322318001879096
Cafe Con Leche,177.441,56,154,Coffee,0.867894116917736
Choffy (roasted cacao),177.441,0,23,Coffee,0.12962054992927227
COGO Caffeinated Hot Chocolate,177.441,110,98,Coffee,0.5522962562203775
Dripdash Kyoto Coffee,177.441,0,225,Coffee,1.2680271188733157
Long Black,177.441,2,154,Coffee,0.867894116917736
Nescafe 3 in 1 Instant Coffee,177.441,74,50,Coffee,0.2817838041940701
Gloria Jean's Coffee,59.975058,0,67,Coffee,1.1171310580474971
Biggby Espresso,59.147,0,100,Coffee,1.690702825164421
Greek Coffee (Metrios),59.147,25,50,Coffee,0.8453514125822105
Turkish Coffee,59.147,20,50,Coffee,0.8453514125822105
28 Black Energy Drink,250.19181000000003,125,80,Energy Drinks,0.31975467142589514
4 Purpose Energy Drink,250.19181000000003,70,70,Energy Drinks,0.27978533749765827
BEEBAD Energy Drink,250.19181000000003,110,80,Energy Drinks,0.31975467142589514
Black Bruin Energy Drink,250.19181000000003,122,38,Energy Drinks,0.1518834689273002
Blu Frog Energy Drink,250.19181000000003,90,80,Energy Drinks,0.31975467142589514
Blue Bolt (UK),250.19181000000003,112,80,Energy Drinks,0.31975467142589514
Blue Charge (UK),250.19181000000003,49,80,Energy Drinks,0.31975467142589514
Blue Spark (UK),250.19181000000003,56,75,Energy Drinks,0.2997700044617767
Bomb Energy Drink,250.19181000000003,0,80,Energy Drinks,0.31975467142589514
Boost Energy (UK),250.19181000000003,58,80,Energy Drinks,0.31975467142589514
Euro Shopper Energy Drink (EU),250.19181000000003,115,80,Energy Drinks,0.31975467142589514
Hell Energy Drink (EU),250.19181000000003,115,80,Energy Drinks,0.31975467142589514
Hype Energy Drink (EU),250.19181000000003,108,80,Energy Drinks,0.31975467142589514
M-150 Energy Drink,250.19181000000003,155,80,Energy Drinks,0.31975467142589514
Pure Cofain 699 (EU),250.19181000000003,148,175,Energy Drinks,0.6994633437441456
Red Bull,250.19181000000003,117,80,Energy Drinks,0.31975467142589514
Red Bull Editions,250.19181000000003,113,80,Energy Drinks,0.31975467142589514
Red Bull Sugarfree,250.19181000000003,10,80,Energy Drinks,0.31975467142589514
Red Bull Zero,250.19181000000003,0,80,Energy Drinks,0.31975467142589514
Scheckters Energy Drink,250.19181000000003,78,80,Energy Drinks,0.31975467142589514
Slammers Energy Drink (EU),250.19181000000003,122,80,Energy Drinks,0.31975467142589514
Source 1899 (UK),250.19181000000003,58,80,Energy Drinks,0.31975467142589514
Taurus Energy Drink,250.19181000000003,180,50,Energy Drinks,0.19984666964118447
TENZING Natural Energy,250.19181000000003,50,80,Energy Drinks,0.31975467142589514
Tiger Energy Drink,250.19181000000003,0,80,Energy Drinks,0.31975467142589514
Tweaker Energy Drink,250.19181000000003,110,80,Energy Drinks,0.31975467142589514
Virtue Clean Energy Beverage,250.19181000000003,8,80,Energy Drinks,0.31975467142589514
Wildcat Energy Drink (UK),250.19181000000003,115,80,Energy Drinks,0.31975467142589514
X Ray Energy Drink,250.19181000000003,125,79,Energy Drinks,0.31575773803307144
OK Energy Drink,249.896075,113,80,Energy Drinks,0.32013307932107377
Power Horse Energy Drink (EU),249.896075,125,80,Energy Drinks,0.32013307932107377
V Energy Drink,249.896075,116,78,Energy Drinks,0.3121297523380469
XL Energy Drink (EU),249.896075,118,80,Energy Drinks,0.32013307932107377
Crave Energy Drink (UK),249.304605,10,80,Energy Drinks,0.3208925884060585
Bomba (EU),248.4174,123,80,Energy Drinks,0.3220386333646516
Cintron Energy Drink,248.4174,60,85,Energy Drinks,0.3421660479499423
Dutch Bros Blue Rebel Energy Drink,248.4174,116,80,Energy Drinks,0.3220386333646516
XS Energy Drink,248.4174,10,80,Energy Drinks,0.3220386333646516
Wild Tiger Energy Drink,247.23446,125,75,Energy Drinks,0.3033557700653865
Liquid Ice Energy Drink,245.46005,120,80,Energy Drinks,0.32591861689916546
Rush! Energy Drink,245.46005,120,80,Energy Drinks,0.32591861689916546
Monster Hydro,751.1668999999999,150,188,Energy Drinks,0.25027726860701666
Monster Import,550.0671,190,179,Energy Drinks,0.32541484484347455
Moose Juice Energy Drink,500.97509,0,200,Energy Drinks,0.399221446319816
Club Mate (EU),500.087885,160,100,Energy Drinks,0.19996485217793267
Demon Energy Drink,500.087885,253,160,Energy Drinks,0.3199437634846923
LevlUp Gaming Booster,500.087885,8,250,Energy Drinks,0.4999121304448317
Monster Ripper Energy Juice (UK),500.087885,185,160,Energy Drinks,0.3199437634846923
Monster The Doctor VR46 (UK),500.087885,219,160,Energy Drinks,0.3199437634846923
Mother Energy Drink,500.087885,228,160,Energy Drinks,0.3199437634846923
Protein2O + Energy,500.087885,70,125,Energy Drinks,0.24995606522241584
Strike Force Energy Drink Mix,500.087885,0,160,Energy Drinks,0.3199437634846923
4C Energy Drink Mix,499.79215,15,170,Energy Drinks,0.34014139677864086
Arizona Arnold Palmer Half and Half,499.79215,180,15,Energy Drinks,0.030012476186350667
Gatorade Bolt 24 Energize,499.79215,40,75,Energy Drinks,0.15006238093175334
Live+ Energy Drink,499.79215,227,150,Energy Drinks,0.3001247618635067
Pure Kick Energy Drink Mix,499.79215,10,80,Energy Drinks,0.16006653966053688
Monster Dragon Tea,458.38925,40,155,Energy Drinks,0.33814056503288414
Monster Rehab,458.38925,25,170,Energy Drinks,0.37086384551993745
Neuro Sonic,428.81575,35,100,Energy Drinks,0.23320038967785117
Lucozade,380.019475,133,46,Energy Drinks,0.12104642794951495
Fakeer Energy Drink (EU),370.26022,148,118,Energy Drinks,0.3186947817402582
Arizona Energy Drink Rx,340.09525,130,127,Energy Drinks,0.37342479790588073
Bai Boost,339.208045,10,110,Energy Drinks,0.32428476158341113
NOCCO Energy Drink (EU),330.335995,0,180,Energy Drinks,0.5448997466957847
Carabao Energy Drink (UK),330.04026,63,106,Energy Drinks,0.32117293811367137
Irn Bru (UK),330.04026,65,30,Energy Drinks,0.09089800135292586
Soylent Stacked,330.04026,180,100,Energy Drinks,0.3029933378430862
Red Eye Energy Drink,328.26585,149,106,Energy Drinks,0.3229090080494209
Mega Monster Energy Drink,709.764,320,240,Energy Drinks,0.33814056503288414
Amino Force Energy Drink,650.617,0,200,Energy Drinks,0.30740051366625837
Bodyarmour Edge,591.47,180,100,Energy Drinks,0.16907028251644207
SoBe Energy Citrus,591.47,250,81,Energy Drinks,0.13694692883831808
ABB Turbo Tea Zero,532.323,0,120,Energy Drinks,0.22542704335525612
Bai Antioxidant Infusion,532.323,10,55,Energy Drinks,0.1033207282044924
Viso Energy Drink,502.7495,140,300,Energy Drinks,0.5967186441756779
3D Energy Drink,473.176,15,200,Energy Drinks,0.42267570629110524
Adrenaline Shoc,473.176,10,300,Energy Drinks,0.6340135594366578
Alsa Energy Drink Mix,473.176,30,100,Energy Drinks,0.21133785314555262
Bang Energy,473.176,0,300,Energy Drinks,0.6340135594366578
Bang Keto Coffee,473.176,130,300,Energy Drinks,0.6340135594366578
Bang Natural,473.176,0,250,Energy Drinks,0.5283446328638816
Bang Sweet Tea,473.176,0,300,Energy Drinks,0.6340135594366578
Beaver Buzz Energy Drink,473.176,240,178,Energy Drinks,0.3761813785990836
Berzerk Energy Drink Mix,473.176,5,200,Energy Drinks,0.42267570629110524
C4 Energy Drink,473.176,0,200,Energy Drinks,0.42267570629110524
C4 Smart Energy Drink,473.176,0,200,Energy Drinks,0.42267570629110524
C4 Ultimate Energy Drink,473.176,0,300,Energy Drinks,0.6340135594366578
Celsius Heat Energy Drink,473.176,15,300,Energy Drinks,0.6340135594366578
Crunk Energy Drink,473.176,200,192,Energy Drinks,0.40576867803946104
Crystal Light Energy Mix,473.176,10,60,Energy Drinks,0.12680271188733155
Electric Monkey Wild Energy Drink,473.176,220,160,Energy Drinks,0.3381405650328842
Full Throttle Energy Drink,473.176,220,160,Energy Drinks,0.3381405650328842
GFuel Cans,473.176,0,300,Energy Drinks,0.6340135594366578
GFuel Energy Drink Mix,473.176,15,140,Energy Drinks,0.2958729944037737
Go Fast Energy Drink,473.176,200,160,Energy Drinks,0.3381405650328842
Go Fast High Octane Energy Drink,473.176,0,300,Energy Drinks,0.6340135594366578
Great Value Energy Drink Mix,473.176,10,120,Energy Drinks,0.2536054237746631
Gridlock Energy Drink,473.176,200,140,Energy Drinks,0.2958729944037737
Hi Ball Energy Drink,473.176,0,160,Energy Drinks,0.3381405650328842
Joker Mad Energy,473.176,260,160,Energy Drinks,0.3381405650328842
Liquid Help Energy Drink,473.176,0,300,Energy Drinks,0.6340135594366578
Loud Energy Drink,473.176,10,320,Energy Drinks,0.6762811300657684
Monster Assault,473.176,210,160,Energy Drinks,0.3381405650328842
Monster Energy,473.176,210,160,Energy Drinks,0.3381405650328842
Monster Juice,473.176,160,160,Energy Drinks,0.3381405650328842
Monster Lo-Carb,473.176,30,140,Energy Drinks,0.2958729944037737
Monster Mango Loco,473.176,240,152,Energy Drinks,0.32123353678123995
Monster Mule,473.176,210,160,Energy Drinks,0.3381405650328842
Monster Pipeline Punch,473.176,190,160,Energy Drinks,0.3381405650328842
Monster Ultra,473.176,10,150,Energy Drinks,0.3170067797183289
Monster Zero Sugar,473.176,10,140,Energy Drinks,0.2958729944037737
Mountain Dew Amp,473.176,220,142,Energy Drinks,0.3000997514666847
Mountain Dew Game Fuel,473.176,90,90,Energy Drinks,0.19020406783099736
Mountain Dew Rise,473.176,25,180,Energy Drinks,0.3804081356619947
